1;10;1
1;9;2
1;3;8
1;7;4
1;5;6
2;1;9
2;8;10
2;2;7
2;6;3
2;4;5
3;8;1
3;7;9
3;10;6
3;5;2
3;3;4
4;1;7
4;6;8
4;9;5
4;4;10
4;2;3
5;6;1
5;5;7
5;8;4
5;3;9
5;10;2
6;1;5
6;4;6
6;7;3
6;2;8
6;9;10
7;4;1
7;3;5
7;6;2
7;10;7
7;8;9
8;1;3
8;2;4
8;5;10
8;9;6
8;7;8
9;2;1
9;10;3
9;4;9
9;8;5
9;6;7
10;1;10
10;2;9
10;8;3
10;4;7
10;6;5
11;9;1
11;10;8
11;7;2
11;3;6
11;5;4
12;1;8
12;9;7
12;6;10
12;2;5
12;4;3
13;7;1
13;8;6
13;5;9
13;10;4
13;3;2
14;1;6
14;7;5
14;4;8
14;9;3
14;2;10
15;5;1
15;6;4
15;3;7
15;8;2
15;10;9
16;1;4
16;5;3
16;2;6
16;7;10
16;9;8
17;3;1
17;4;2
17;10;5
17;6;9
17;8;7
18;1;2
18;3;10
18;9;4
18;5;8
18;7;6
