1;1;6
1;5;2
1;3;4
2;7;5
2;4;1
2;2;3
3;6;4
3;3;7
3;1;2
4;5;3
4;2;6
4;7;1
5;4;2
5;1;5
5;6;7
6;3;1
6;7;4
6;5;6
7;2;7
7;6;3
7;4;5
8;6;1
8;2;5
8;4;3
9;5;7
9;1;4
9;3;2
10;4;6
10;7;3
10;2;1
11;3;5
11;6;2
11;1;7
12;2;4
12;5;1
12;7;6
13;1;3
13;4;7
13;6;5
14;7;2
14;3;6
14;5;4
